,SCC,TRM
2013-10-01,0.0048969156,0.01190431548
2013-11-01,0.00552475692,0.0120449322
2013-12-01,0.00612669516,0.01385568084
2014-01-01,0.00724422804,0.0153136542
2014-02-01,0.00855911772,0.02187330084
2014-03-01,0.011526870600000001,0.0352220214
2014-04-01,0.01591435896,0.06636985836
2014-05-01,0.0167629932,0.10262923644
2014-06-01,0.01508792736,0.056451445680000004
2014-07-01,0.01326361044,0.0330079248
2014-08-01,0.00660651888,0.02520246336
2014-09-01,0.004748898,0.0207409662
2014-10-01,0.00385339152,0.01752034992
2014-11-01,0.00418273068,0.01963946856
2014-12-01,0.00574061592,0.0276977934
2015-01-01,0.00660158496,0.03239241828
2015-02-01,0.0089488974,0.052361226
2015-03-01,0.01025145228,0.06616510068
2015-04-01,0.01110502044,0.07541250024
2015-05-01,0.01085585748,0.08866747632
2015-06-01,0.00925480044,0.0594722382
2015-07-01,0.0076599108,0.03678977448
2015-08-01,0.00568140888,0.0294308328
2015-09-01,0.0038052858,0.02205832284
2015-10-01,0.00358449288,0.01956792672
2015-11-01,0.00492035172,0.02623365264
2015-12-01,0.01231383084,0.02695523844
2016-01-01,0.01316369856,0.0397920648
2016-02-01,0.02528634,0.0440229012
2016-03-01,0.0451515354,0.09388262976
2016-04-01,0.05757514596,0.13087099452
2016-05-01,0.06525602592,0.18410799132
2016-06-01,0.06531769992,0.15512491176
2016-07-01,0.02250360912,0.02808757308
2016-08-01,0.00945092376,0.01542960132
2016-09-01,0.00737497692,0.0120819366
2016-10-01,0.00580722384,0.01330431528
2016-11-01,0.00630554976,0.01596246468
2016-12-01,0.0144872226,0.02616087732
2017-01-01,0.04804774644,0.05747523408
2017-02-01,0.06126941856,0.12209108388
2017-03-01,0.05364651216,0.0636969072
2017-04-01,0.0819092394,0.10249972104
2017-05-01,0.09607205676,0.16432667256
2017-06-01,0.10319417028,0.21224367012
2017-07-01,0.0938246562,0.12677584092
2017-08-01,0.04572263664,0.02140211148
2017-09-01,0.01307735496,0.02049673716
2017-10-01,0.00822977856,0.02194484268
2017-11-01,0.01090889712,0.0273709212
2017-12-01,0.01323030648,0.01742537196
2018-01-01,0.01697145132,0.02951964336
2018-02-01,0.02031171516,0.03691312248
2018-03-01,0.04519224024,0.0929858898
2018-04-01,0.06349461648,0.19731979560000001
2018-05-01,0.068334792,0.21550992516
2018-06-01,0.06474659868,0.12430148004
2018-07-01,0.01746237636,0.02886219852
2018-08-01,0.00986043912,0.01847259648
2018-09-01,0.0080731266,0.01341902892
2018-10-01,0.00753532932,0.01347206856
2018-11-01,0.0093991176,0.01647065844
2018-12-01,0.01251488808,0.026789952120000002
2019-01-01,0.01797920448,0.03931840848
2019-02-01,0.02468563524,0.02687999616
2019-03-01,0.04907276832,0.0493885392
2019-04-01,0.07796950428,0.1591004178
2019-05-01,0.09644826816,0.18386746272
2019-06-01,0.1129004244,0.2210149464
2019-07-01,0.08169831432,0.12083293428
2019-08-01,0.03619893756,0.03520228572
2019-09-01,0.015328455960000001,0.0187982352
2019-10-01,0.01053638616,0.01756845564
2019-11-01,0.00741198132,0.02102096616
2019-12-01,0.00997638624,0.03741884928
2020-01-01,0.01593286116,0.02741285952
2020-02-01,0.02065832304,0.03602501688
2020-03-01,0.02754854232,0.05076140244
2020-04-01,0.04616792292,0.1092493236
2020-05-01,0.05456792172,0.17429442444
2020-06-01,0.05486148996,0.100775316
2020-07-01,0.02439576744,0.02794325592
2020-08-01,0.00993444792,0.01722308124
2020-09-01,0.00832845696,0.01306502016
2020-10-01,0.006845814,0.01161198072
2020-11-01,0.0076315407600000005,0.01250995416
2020-12-01,0.00887982252,0.015233478
2021-01-01,0.01082255352,0.01950995316
2021-02-01,0.01470061464,0.02779153788
2021-03-01,0.01969620864,0.03761743956
2021-04-01,0.02320669272,0.05704351608
2021-05-01,0.02284034916,0.07760192724000001
2021-06-01,0.0206114508,0.06632545308
2021-07-01,0.01647682584,0.03863629404
2021-08-01,0.01166995428,0.03262801296
2021-09-01,0.00956440392,0.02595118572
2021-10-01,0.01001955804,0.02788404888
2021-11-01,0.0111568266,0.03127611888
2021-12-01,0.01919418228,0.03113796912
2022-01-01,0.01974061392,0.035863431
